Alpha,Exceedances,Queue_Count,Method
0.9000000000000004,1193.7212783734558,1506,Original Network
0.9000000000000004,1214.4986202160126,1506,Original Network
0.9000000000000004,1133.570824766483,1506,Original Network
0.9000000000000004,1173.1997896128387,1506,Original Network
0.9000000000000004,1217.0249449162507,1506,Original Network
0.9000000000000004,1169.2930532061027,1506,Original Network
0.9000000000000004,1110.4265584265652,1506,Original Network
0.9000000000000004,1086.9576116967492,1506,Original Network
0.9000000000000004,1153.29762275415,1506,Original Network
0.9000000000000004,1156.027772397343,1506,Original Network
0.9000000000000004,1072.0644277818265,1506,Original Network
0.9000000000000004,1156.2716644021039,1506,Original Network
0.9000000000000004,1058.7150356280854,1506,Original Network
0.9000000000000004,1292.3644100383249,1506,Original Network
0.9000000000000004,1162.3832140788704,1506,Original Network
0.9000000000000004,1183.9209209209266,1506,Original Network
0.9000000000000004,1090.6220678394664,1506,Original Network
0.9000000000000004,1142.3623585362777,1506,Original Network
0.9000000000000004,1181.8763505502677,1506,Original Network
0.9000000000000004,1083.0821724734851,1506,Original Network
0.9000000000000004,1202.3924751316108,1506,Original Network
0.9000000000000004,1098.8568475307688,1506,Original Network
0.9000000000000004,1197.8423660162814,1506,Original Network
0.9000000000000004,1247.2121182338603,1506,Original Network
0.9500000000000004,1522.89293378424,1506,Original Network
0.9500000000000004,1629.5935232891782,1506,Original Network
0.9500000000000004,1767.5550933159648,1506,Original Network
0.9500000000000004,1542.6310770876003,1506,Original Network
0.9500000000000004,1565.9595378943218,1506,Original Network
0.9500000000000004,1542.5510080075312,1506,Original Network
0.9500000000000004,1524.9587669370292,1506,Original Network
0.9500000000000004,1588.3101144622894,1506,Original Network
0.9500000000000004,1527.8364202712048,1506,Original Network
0.9500000000000004,1596.2498657281292,1506,Original Network
0.9500000000000004,1644.836210314473,1506,Original Network
0.9500000000000004,1496.949103666498,1506,Original Network
0.9500000000000004,1646.6725748682295,1506,Original Network
0.9500000000000004,1522.2002772002802,1506,Original Network
0.9500000000000004,1664.2162061727295,1506,Original Network
0.9500000000000004,1587.6526038699972,1506,Original Network
0.9500000000000004,1548.0258182214725,1506,Original Network
0.9500000000000004,1490.7613121960974,1506,Original Network
0.9500000000000004,1591.6896358852894,1506,Original Network
0.9500000000000004,1400.3092665049198,1506,Original Network
0.9500000000000004,1595.3931513931532,1506,Original Network
0.9500000000000004,1585.3114162896784,1506,Original Network
0.9500000000000004,1546.4358548706387,1506,Original Network
0.9500000000000004,1646.7527855136566,1506,Original Network
0.9500000000000004,1496.535915275047,1506,Original Network
0.9500000000000004,1516.319992233038,1506,Original Network
0.9500000000000004,1611.2086716434553,1506,Original Network
0.9500000000000004,1529.7731305122632,1506,Original Network
0.9500000000000004,1598.429777603693,1506,Original Network
0.9500000000000004,1512.4431643779485,1506,Original Network
0.9500000000000004,1507.061759561762,1506,Original Network
0.9500000000000004,1593.932465910729,1506,Original Network
0.9500000000000004,1584.4922949705585,1506,Original Network
0.9500000000000004,1510.9044878610123,1506,Original Network
0.9500000000000004,1510.7046671611904,1506,Original Network
0.9500000000000004,1504.1335090465552,1506,Original Network
0.9500000000000004,1523.8283737631593,1506,Original Network
0.9500000000000004,1614.3782298782335,1506,Original Network
0.9500000000000004,1558.1947398903947,1506,Original Network
0.9500000000000004,1563.650112606636,1506,Original Network
0.9500000000000004,1593.378176791224,1506,Original Network
0.9500000000000004,1570.5722870505504,1506,Original Network
0.9500000000000004,1658.6956978478731,1506,Original Network
0.9500000000000004,1410.6430510778357,1506,Original Network
0.9500000000000004,1626.538213799087,1506,Original Network
0.9500000000000004,1590.5800592757148,1506,Original Network
0.9500000000000004,1562.4652736826674,1506,Original Network
0.9500000000000004,1547.9535302144018,1506,Original Network
0.9500000000000004,1496.4273356012511,1506,Original Network
0.9500000000000004,1639.8697158697173,1506,Original Network
0.5,21.04831441212066,878,MaxNI Network
0.5,16.28240864472221,878,MaxNI Network
0.5,17.34235414253371,878,MaxNI Network
0.5,13.212643382292647,878,MaxNI Network
0.5,18.741645588811206,878,MaxNI Network
0.5,18.51959188346592,878,MaxNI Network
0.5,17.390054562103163,878,MaxNI Network
0.5,16.018195016742595,878,MaxNI Network
0.5,20.165709172036205,878,MaxNI Network
0.5,15.469176522633518,878,MaxNI Network
0.5,10.494278633809989,878,MaxNI Network
0.5,14.31183934015715,878,MaxNI Network
0.5,19.734138136113014,878,MaxNI Network
0.5,14.499836277387374,878,MaxNI Network
0.5,23.617284776017698,878,MaxNI Network
0.5,21.896986073265527,878,MaxNI Network
0.5,22.825107512260516,878,MaxNI Network
0.5,22.1719414217468,878,MaxNI Network
0.5,15.097626566632432,878,MaxNI Network
0.5,21.08890423781886,878,MaxNI Network
0.5,17.97881300202852,878,MaxNI Network
0.5,15.889482559236061,878,MaxNI Network
0.5,11.798234877163456,878,MaxNI Network
0.5,12.97090868271751,878,MaxNI Network
0.5,13.51432335518879,878,MaxNI Network
0.5,14.395949269376686,878,MaxNI Network
0.5,12.7801606672835,878,MaxNI Network
0.5,23.663696746996848,878,MaxNI Network
0.5,18.683922499976823,878,MaxNI Network
0.5,21.151067109913612,878,MaxNI Network
0.5,17.535783713016528,878,MaxNI Network
0.5,17.699143979774778,878,MaxNI Network
0.5,27.084747902535927,878,MaxNI Network
0.5,12.435040052156836,878,MaxNI Network
0.5,21.521314822211075,878,MaxNI Network
0.5,12.976404331178959,878,MaxNI Network
0.5,13.664595338156634,878,MaxNI Network
0.5,23.437175069503496,878,MaxNI Network
0.5,14.919651426964435,878,MaxNI Network
0.5,11.922741558851982,878,MaxNI Network
0.5,17.400545236373773,878,MaxNI Network
0.5,13.670783153786106,878,MaxNI Network
0.5,19.279684198548676,878,MaxNI Network
0.5,18.24965410563511,878,MaxNI Network
0.5,18.34525454113624,878,MaxNI Network
0.5,12.909824255720173,878,MaxNI Network
0.5,10.660259120586474,878,MaxNI Network
0.5,13.447240562549135,878,MaxNI Network
0.5,10.879437684174796,878,MaxNI Network
0.5,16.095632047896352,878,MaxNI Network
0.55,27.649602881223565,878,MaxNI Network
0.55,24.70996216061927,878,MaxNI Network
0.55,19.460712642545356,878,MaxNI Network
0.55,19.144829876865252,878,MaxNI Network
0.55,17.361868433912157,878,MaxNI Network
0.55,17.665594907774647,878,MaxNI Network
0.55,22.473899230092634,878,MaxNI Network
0.55,26.360536982717715,878,MaxNI Network
0.55,23.43670404342264,878,MaxNI Network
0.55,18.963206183896215,878,MaxNI Network
0.55,21.475669718453155,878,MaxNI Network
0.55,18.16707519871711,878,MaxNI Network
0.55,12.078564924447784,878,MaxNI Network
0.55,18.785576023964108,878,MaxNI Network
0.55,25.404099572527247,878,MaxNI Network
0.55,23.171144193014314,878,MaxNI Network
0.55,22.23042748546601,878,MaxNI Network
0.55,22.99058656574521,878,MaxNI Network
0.55,23.790466767733996,878,MaxNI Network
0.55,13.095728170853953,878,MaxNI Network
0.55,17.771754012197384,878,MaxNI Network
0.55,8.860142083954242,878,MaxNI Network
0.55,20.58648412545636,878,MaxNI Network
0.55,41.46929408949909,878,MaxNI Network
0.55,16.589265980365763,878,MaxNI Network
0.55,13.247276487143417,878,MaxNI Network
0.55,21.61618884293204,878,MaxNI Network
0.55,23.659854422778974,878,MaxNI Network
0.55,33.05267483555488,878,MaxNI Network
0.55,17.883802484453717,878,MaxNI Network
0.55,18.323597701045074,878,MaxNI Network
0.55,18.46953898926019,878,MaxNI Network
0.55,32.56564306004181,878,MaxNI Network
0.55,15.712175534276758,878,MaxNI Network
